Accumulation,Number
0,142611
1,43550
2,26992
3,18932
4,13763
5,11426
6,8822
7,7623
8,6259
9,5403
10,4605
11,3970
12,3449
13,3105
14,2730
15,2528
16,2209
17,1991
18,1842
19,1681
20,1553
21,1412
22,1276
23,1195
24,1025
25,1029
26,918
27,859
28,800
29,768
30,671
31,644
32,560
33,529
34,459
35,425
36,390
37,367
38,315
39,304
40,285
41,268
42,249
43,242
44,252
45,222
46,224
47,188
48,188
49,165
50,144
51,156
52,149
53,139
54,147
55,133
56,127
57,116
58,140
59,118
60,109
61,116
62,114
63,101
64,87
65,92
66,107
67,84
68,78
69,92
70,80
71,85
72,80
73,54
74,76
75,64
76,67
77,62
78,73
79,66
80,58
81,47
82,56
83,64
84,45
85,53
86,52
87,54
88,51
89,45
90,55
91,64
92,43
93,46
94,58
95,57
96,57
97,54
98,42
99,38
100,37
101,41
102,46
103,50
104,37
105,42
106,39
107,32
108,40
109,43
110,35
111,30
112,35
113,29
114,34
115,36
116,24
117,38
118,44
119,26
120,22
121,29
122,30
123,30
124,33
125,29
126,27
127,26
128,18
129,26
130,22
131,24
132,24
133,25
134,31
135,13
136,25
137,24
138,27
139,21
140,20
141,24
142,30
143,26
144,24
145,20
146,28
147,22
148,25
149,23
150,26
151,29
152,22
153,23
154,20
155,15
156,15
157,20
158,16
159,16
160,12
161,15
162,20
163,18
164,20
165,17
166,20
167,16
168,13
169,17
170,16
171,18
172,13
173,18
174,16
175,19
176,22
177,13
178,19
179,17
180,15
181,21
182,19
183,18
184,14
185,16
186,9
187,14
188,20
189,16
190,17
191,11
192,14
193,11
194,16
195,14
196,16
197,12
198,12
199,17
200,13
201,4
202,12
203,14
204,10
205,16
206,12
207,10
208,11
209,7
210,7
211,8
212,10
213,4
214,7
215,13
216,10
217,7
218,11
219,10
220,6
221,8
222,7
223,8
224,8
225,7
226,8
227,8
228,9
229,6
230,11
231,12
232,10
233,13
234,10
235,11
236,5
237,13
238,13
239,12
240,9
241,13
242,11
243,8
244,10
245,12
246,6
247,10
248,6
249,6
250,4
251,7
252,6
253,11
254,8
255,9
256,9
257,9
258,10
259,7
260,7
261,10
262,4
263,11
264,10
265,8
266,7
267,10
268,7
269,8
270,6
271,7
272,7
273,5
274,6
275,5
276,7
277,6
278,3
279,5
280,6
281,5
282,9
283,8
284,7
286,7
287,4
288,6
289,5
290,1
291,5
292,1
293,4
294,3
295,3
296,3
297,3
298,5
299,8
300,6
302,6
303,6
304,9
305,3
306,4
307,7
308,4
309,6
310,5
311,9
312,3
313,1
314,4
315,3
316,5
317,5
318,6
319,2
320,5
321,4
322,4
323,7
324,5
325,7
326,6
327,6
328,4
329,7
330,8
331,7
332,7
333,9
334,6
335,8
336,5
337,8
338,8
339,8
340,4
341,9
342,10
343,7
344,4
345,4
346,6
347,7
348,6
349,10
350,4
351,6
352,5
353,8
354,7
355,6
356,5
357,7
358,2
359,5
360,7
361,3
362,5
363,9
364,2
365,6
366,5
367,3
368,3
369,7
370,5
371,3
372,5
373,2
374,5
375,5
376,5
377,4
378,6
379,5
380,4
381,8
382,3
383,4
384,5
385,4
386,2
387,4
388,2
389,5
390,2
391,3
392,6
393,4
394,3
395,6
396,3
397,7
398,5
399,7
400,6
401,2
402,5
403,5
404,3
405,1
406,2
407,5
408,3
409,5
410,4
411,3
412,5
413,3
414,2
415,3
416,5
417,8
418,5
419,3
420,5
421,5
422,2
423,3
424,5
425,3
426,2
427,5
428,5
429,5
430,3
431,5
432,7
433,6
434,4
435,4
436,5
437,5
438,5
439,3
440,3
441,1
442,5
443,1
444,1
445,2
446,1
447,3
448,3
449,3
450,4
451,5
452,2
453,1
454,2
455,3
456,3
457,2
458,8
459,4
460,4
461,1
462,5
463,5
464,3
465,3
466,3
467,3
468,2
469,2
470,2
471,4
472,1
473,3
474,2
475,2
476,2
477,1
478,5
480,1
481,4
482,2
483,2
484,3
485,2
486,2
487,3
488,3
489,2
490,1
493,2
494,1
496,5
498,1
500,4
501,1
502,2
503,4
505,6
506,3
507,3
508,1
509,4
510,1
511,2
512,2
514,3
515,3
516,3
517,3
518,7
519,4
520,4
521,2
522,2
523,3
524,2
525,3
526,2
527,3
528,3
529,1
530,1
531,1
532,3
533,3
534,1
535,4
536,1
537,2
538,4
539,1
540,6
541,2
542,1
543,3
544,3
545,4
546,2
547,3
548,5
549,1
550,1
551,4
552,4
553,4
554,1
555,2
556,3
557,3
558,2
559,2
560,3
561,3
562,3
563,2
564,2
565,3
566,4
567,2
568,1
569,2
570,1
571,3
572,3
573,1
574,3
575,3
576,2
577,1
578,4
579,3
580,2
581,2
582,2
583,2
584,3
585,1
586,2
587,2
588,4
589,2
590,1
591,1
592,3
593,1
594,4
595,1
596,3
597,1
598,4
599,3
600,1
601,3
602,4
603,2
605,2
606,1
607,4
608,2
610,1
613,2
615,5
617,1
618,1
619,1
621,1
622,1
623,3
625,2
626,2
627,3
628,3
629,2
630,2
631,1
632,1
633,1
634,1
635,3
636,2
637,3
638,3
639,2
640,1
641,1
644,2
646,2
648,2
649,1
650,1
651,1
652,1
654,1
656,1
657,1
658,2
659,2
662,2
663,1
664,3
665,1
666,2
667,2
668,1
669,2
670,1
671,1
672,3
673,4
674,2
675,2
676,2
678,2
680,1
681,1
682,2
683,1
685,2
686,1
688,2
689,2
690,3
694,1
695,1
697,2
700,1
702,1
703,1
704,1
705,3
706,2
707,3
708,1
709,2
710,3
711,2
712,2
713,1
714,1
715,1
716,1
717,1
718,1
719,2
720,1
721,1
722,1
723,1
724,2
725,2
726,1
727,1
728,2
729,1
730,1
731,2
732,4
733,3
734,1
735,1
736,1
738,2
740,1
745,1
748,2
752,1
753,1
755,1
757,1
759,1
760,3
761,1
762,1
763,2
764,2
766,1
767,2
768,1
770,1
771,1
772,2
773,2
774,2
775,2
776,3
777,1
778,2
779,3
780,1
781,1
783,1
784,1
786,1
787,1
788,2
789,1
790,2
791,1
793,1
796,1
797,1
799,1
802,1
804,1
806,2
808,1
826,1
828,1
830,1
835,2
838,1
840,2
842,1
846,1
847,2
848,1
852,2
856,1
863,1
867,2
870,1
871,1
872,2
876,1
877,2
879,1
884,1
887,1
891,1
892,1
893,1
894,1
896,1
898,1
900,1
911,1
914,1
915,1
916,1
921,1
926,1
928,1
931,1
932,1
934,1
942,1
945,1
947,1
948,2
952,2
954,1
958,1
960,2
961,1
962,1
966,1
968,1
974,1
975,1
989,1
990,1
991,1
992,2
993,1
994,1
998,1
1001,2
1002,1
1008,2
1010,1
1016,1
1020,1
1022,1
1024,1
1026,1
1028,1
1030,2
1032,1
1038,2
1039,1
1042,1
1052,1
1066,1
1070,1
1075,1
1086,1
1093,1
1094,1
1096,1
1103,1
1108,1
1110,1
