OID,pointid,flow_level,pointid_1,LCLU,flow_id,from_node,to_node
-1,1,1,106456,505,1,1,2
-1,2,1,107133,505,1,1,2
-1,3,1,107811,505,1,1,2
-1,4,1,108489,505,1,1,2
-1,5,1,542181,505,2,3,4
-1,6,1,1000719,500,3,5,6
-1,7,1,1003611,500,3,5,6
-1,8,1,1407214,500,4,8,7
-1,9,1,1410666,501,4,8,7
-1,10,1,1414126,501,4,8,7
-1,11,1,1417592,501,4,8,7
-1,12,1,1421061,501,4,8,7
-1,13,1,1424536,501,4,8,7
-1,14,1,1428015,501,4,8,7
-1,15,1,1431496,501,4,8,7
-1,16,1,1434979,501,4,8,7
-1,17,1,1438462,501,4,8,7
-1,18,1,1441947,501,4,8,7
-1,19,1,1445434,501,4,8,7
-1,20,1,1448921,501,4,8,7
-1,21,1,1452418,501,4,8,7
-1,22,1,1455920,501,4,8,7
-1,23,1,1459428,501,4,8,7
-1,24,1,1462952,501,4,8,7
-1,25,1,1466493,501,4,8,7
-1,26,1,1470050,501,4,8,7
-1,27,1,1473612,500,4,8,7
-1,28,1,1482707,501,6,12,9
-1,29,1,1486301,501,6,12,9
-1,30,1,1489906,501,6,12,9
-1,31,1,1493521,507,5,11,10
-1,32,1,1493522,507,5,11,10
-1,33,1,1493523,507,5,11,10
-1,34,1,1493534,501,6,12,9
-1,35,1,1497170,501,6,12,9
-1,36,1,1497171,501,6,12,9
-1,37,1,1508118,501,7,13,14
-1,38,1,1511756,501,7,13,14
-1,39,1,1515393,501,7,13,14
-1,40,1,1519027,507,7,13,14
-1,41,1,1522675,501,8,15,16
-1,42,1,1522676,501,8,15,16
-1,43,1,1522678,501,8,15,16
-1,44,1,1522679,501,8,15,16
-1,45,1,1526310,501,8,15,16
-1,46,1,1548129,501,9,17,18
-1,47,1,1551770,501,9,17,18
-1,48,1,1551772,501,9,17,18
-1,49,1,1555415,501,9,17,18
-1,50,1,1573631,501,10,19,20
-1,51,1,1573632,501,10,19,20
-1,52,1,1580908,501,11,22,21
-1,53,1,1584544,501,11,22,21
-1,54,1,1660800,501,12,23,24
-1,55,1,1693393,501,13,25,26
-1,56,1,1698573,501,16,32,27
-1,57,1,1702207,501,16,32,27
-1,58,1,1705850,501,16,32,27
-1,59,1,1709499,501,16,32,27
-1,60,1,1711415,500,14,28,29
-1,61,1,1713153,501,16,32,27
-1,62,1,1716812,501,16,32,27
-1,63,1,1720474,501,16,32,27
-1,64,1,1724146,501,16,32,27
-1,65,1,1727820,501,16,32,27
-1,66,1,1731500,501,16,32,27
-1,67,1,1735188,501,16,32,27
-1,68,1,1738874,501,16,32,27
-1,69,1,1740995,501,15,30,31
-1,70,1,1740996,501,15,30,31
-1,71,1,1742557,501,16,32,27
-1,72,1,1746239,501,16,32,27
-1,73,1,1749921,501,16,32,27
-1,74,1,1753601,501,16,32,27
-1,75,1,1757283,501,16,32,27
-1,76,1,1760968,500,16,32,27
-1,77,1,1764649,501,16,32,27
-1,78,1,1768330,500,16,32,27
-1,79,1,1772008,501,16,32,27
-1,80,1,1775685,501,16,32,27
-1,81,1,1779362,501,16,32,27
-1,82,1,1783039,501,16,32,27
-1,83,1,1786720,501,16,32,27
